text,annotation
በወቅቱ ከጐኑ የወያኔ/ ኢህአዴግ አባል የሆነ የኦሮሞ ድርጅት በእነአቶ ኩማ ደመቅሳ መሪነት ተደራጅቶበት ነበርና በሽግግር መንግሥቱ ውስጥ ብዙም አልቆዩም። አመራር አባላቱ ወደውጭ አገር እንዲሰደዱ ሲፈቀድላቸው ከ20 ሺህ በላይ የሚሆነው የታጠቀ ኃይሉ ታገተ። በተለይ በመቶዎች የሚገመቱት አባላቱ በዝዋይ እስር ቤት ሲማቅቁ ዓመታት ማስቆጠራቸው የአደባባይ ምስጢር ከሆነ ሰንብቷል። ባለፉት አስር ዓመታት የመብት ጥያቄ የሚያነሱ የኦሮሞ ተወላጆች 171;የኦነግ አባል 187; እየተባሉ ለእስር ለሥቃይ ለሞትና ለስደት ተዳርገዋል።,"[('የወያኔ/ ኢህአዴግ', 'ORG'), ('በእነአቶ', 'TTL'), ('ኩማ ደመቅሳ', 'PER'), ('171;የኦነግ', 'ORG')]"
የኦሮሞ ነፃነት ግንባር የሻዕቢያ ፍጡር ነው በመባሉ 171;ነፃ ኦሮምያን 187; የሚያቀነቅን በመሆኑንና አሁንም ከሻዕቢያ ጋር ይሠራል በመባሉ በብዙዎች ዘንድ በጥርጣሬ እንዲታይ ያደረገው ቢሆንም በኦሮሞ ህዝብ በተለይም በኤሊቶች ዘንድ ያለው ተደማጭነት ተቃሎ የሚታይ አይደለም። አሁን ደግሞ ከአመራር አባላቱ ከፊሎቹ እያሳዩት ያሉት አዝማሚያ ኦሮሞዎችን ብቻ ሳይሆን በኦነግ የመገንጠል አጀንዳና ከሻዕቢያ ጋር ባለው ትብብር ሥጋት አድሮባቸው የነበሩ ኢትዮጵያውያንን ትኩረት እየሳበ መጥቷል።,"[('የኦሮሞ ነፃነት ግንባር', 'ORG'), ('የሻዕቢያ', 'ORG'), ('ኦሮምያን', 'LOC'), ('ከሻዕቢያ', 'ORG'), ('በኦነግ', 'ORG'), ('ከሻዕቢያ', 'ORG')]"
እንደሚታወቀው ከአምስት ዓመት በፊት በአገራችን የፖለቲካ መድረክና በተለይም በኦሮሞ ህዝብ ጥያቄ ላይ ትርጉም ያለው ለውጥ ያመጣ አዲስ የፖለቲካ ድርጅት ብቅ ብሏል። በረዳት ፕሮፌሰር መረራ ጉዲና የሚመራው የኦሮሞ ብሔራዊ ኮንግረስ (ኦብኮ) 171;አንድ ሰው ለአንድ ድምፅ፤ የኦሮሞ ህዝብ ከዴሞክራሲያዊት ኢትዮጵያ የሚያወጣው የለም 187; የሚል መፈክር አንስቶ ወደፖለቲካ መድረክ መጥቷል። ይህ ደግሞ በኦነግ አቋም ላይ ለውጥን ያስከተለ ይመስላል። ቢያንስ የሁለት መስመር ትግል ተጀምሯል። የአመራር ለውጥም ተከስቷል። 171;ከነፃ ኦሮምያ 187; በመልስ ድርድር ውስጥ መግባት 171;ለአበሾችና ለኢትዮጵያውያን መንበርከክና ማደር ነው 187; የሚሉ በአንድ ወገን ተሰልፈዋል። በዚህም መስመር የተሰለፉት የቀድሞ የህዝብ ድርጅት ጉዳይ ጽ/ ቤት ካድሬና እስከ ቅርብ ጊዜ ድረስ የኦነግ ዋና ፀሀፊ የነበሩት ገላሳ ዲልቦ፣ በእናታቸው የጐጃም አምራ ናቸው የሚባሉት በደርግ የመጀመሪያዎቹ ዓመታት የአርሲ ክፍለ ሀገር ዋና አስተዳዳሪ እስከ ቅርብ ጊዜ ድረስም የኦነግ የውጭ ግኝኑነት ኃላፊ የነበሩት አቶ አቢዩ ገለታ፣ የኦነግ ሠራዊት አዛዥ ነበሩ የሚባሉት አባ ጫላ ለታ (የሌንጮ ለታ ወንድም) ናቸው። እነዚህ ወገኖች 171;በኢትዮጵያ ጉዳይ አያገባንም 187; በማለት ኦነግን በኢትዮጵያ ተቃዋሚ ኃይሎች ስብሰባ እንዳይሳተፍ ሲያደርጉ ቆይተዋል።,"[('ከአምስት ዓመት', 'TIME'), ('በረዳት ፕሮፌሰር', 'TTL'), ('መረራ ጉዲና', 'PER'), ('የኦሮሞ ብሔራዊ ኮንግረስ (ኦብኮ', 'ORG'), ('በኦነግ', 'ORG'), ('የኦነግ', 'ORG'), ('ገላሳ ዲልቦ', 'PER'), ('የጐጃም', 'LOC'), ('የኦነግ', 'ORG'), ('አቶ', 'TTL'), ('አቢዩ ገለታ', 'PER'), ('የኦነግ', 'ORG'), ('አባ ጫላ ለታ', 'PER'), ('የሌንጮ ለታ', 'PER'), ('ኦነግን', 'ORG')]"
በሌላ በኩል ደግሞ 171;አቋማችን የዓለምንና የአካባቢያችንን ሁኔታ ያገናዘበ ሊሆን ይገባል ለኦሮሞ ህዝብ ብዛትና ሀብት የሚመጥን መብትና ቦታ ለኦሮሞ ህዝብ ከተሰጠ ከቀሪው የኢትዮጵያ ህዝብ ጋር መኖር የማይቻልበት ምክንያት የለም 187; በማለት ከኢትዮጵያ ዴሞክራሲያዊ ኃይሎች ጋር ወደመቀራረቡ ያዘነበለ ቡድን በአሁኑ ጊዜ የኦነግን አመራር ይዟል። በዚህ ቡድን ውስጥ የአሁኑ ዋና ፀሀፊ ዳውድ ኢብሳ፣ የውጭ ግንኙነት ኃላፊው ሌንጮ ባቲ፣ በ1966 ህዝባዊ እንቅስቃሴ ጅማሮ የከፋ ዋና አስተዳዳሪ የነበሩት አባቢያ ይገኛሉ። ይህ ቡድን በተቃዋሚዎቹ በሽሙጥ መልክ 171;ሰላማዊ ኦነግ 187; እየተባለ ይጠራል።,"[('የኦነግን', 'ORG'), ('ዳውድ ኢብሳ', 'PER'), ('ሌንጮ ባቲ', 'PER'), ('አባቢያ', 'PER'), ('ኦነግ', 'ORG')]"
አዲሱ የኦነግ አመራር በቅርቡ ባወጣቸው የፖሊሲ መግለጫዎች ኦነግ መሣሪያ ያነሳው የህዝቡን መብት ለመከላከል እንጂ ለሽብርተኝነት አለመሆኑን፣ የሃይማኖት ጽንፈኝነትን እንደሚቃወም፣ የኢትዮጵያን ችግር በሰላማዊ መንገድ ለመፍታት እስከየትኛውም ርቀት እንደሚጓዝና በኢትዮጵያ የጭቆና አገዛዝ እንዲያበቃ በጋራ ለመታገል ከአገሪቱ የፖለቲካ ኃይሎች ጋር በጋራ መግባባት ላይ መድረሱን ይፋ አድርጓል።,"[('የኦነግ', 'ORG'), ('ኦነግ', 'ORG')]"
አዲሱ የኦነግ አመራር በኢትዮጵያ ማዕቀፍ አብሮ መኖር የሚለውን አቋሙን በአሜሪካ በአውሮፓና በመካከለኛው ምሥራቅ መንግሥታት በውጭ ለሚኖሩ ኦሮሞዎች ለማሳወቅ በመንቀሳቀስ ላይ እንደሚገኝ የሚገልፀው የነገላሳ ዲልቦ ቡድን የነፃይቱ ኦሮምያ ግዛት ከየት እስከየት እንደሚካለል በኦሮምያ ግዛት ከየት እስከየት እንደሚካለል በኦሮምያ ነፃ መውጣት ቀሪው የኢትዮጵያ ህዝብ ዕጣ ፈንታ ምን እንደሚሆን ከዚያ በኋላ ኢትዮጵያ የምትባል አገር ትኑር ወይም አትኑር የሰጠው ማብራሪያ የለም።,"[('የኦነግ', 'ORG'), ('የነገላሳ ዲልቦ', 'ORG')]"
በአንፃሩ የኦነግ አዲሱ አመራር እይታ የአገሪቱን የፖለቲካ ኃይሎች እያቀራረበና 171;አገራችን ወደዬት እየሄደች ነው? 187; ለሚሉት ኢትዮጵያውያን እፎይታን እየሰጠ ያለ ይመስላል። ለማንኛውም ወሳኙ ተግባሩ ነውና የሚሆነውን መጭው ጊዜ ያሳየናል።,"[('የኦነግ', 'ORG')]"
መንግሥት ከዓለም ባንክ ጋር ባደረገው ስምምነት በጦርነቱ ምክንያት አከማችቶት የነበረውን ሠራዊት ቀንሶ ወደ ልማት እንዲሸጋገሩ ለማደረግ የተያያዘውን የሥራ እንቅስቃሴ እንዲያስፈፅሙ በአዲስ አበባና በየክልሎች በተቋቋሙት ቶፕ አፕ ጽ/ ቤቶች ከመደበኛ ሥራቸው በተጨማሪ ተመድበው እንዲሠሩ የተደረጉት በርካታ የሠራተኛና ማኅበራዊ ጉዳይ ሚ/ ር ሠራተኞች የሁለት ደሞዝ ተከፋይ መሆናቸውን ሠራተኞች ጠቆሙ።,"[('የሠራተኛና ማኅበራዊ ጉዳይ ሚ/ ር', 'ORG')]"
እነዚህ ምርጥ ሠራተኞች በደሞዝ ላይ ደሞዝ (ማበረታቻ) እንዴት ያማኙ? በሚለው ላይ በዚህን ወቅት የኢኮኖሚ ልማትና ትብብር ሚኒስቴር ሚኒስትር የነበሩት አቶ ግርማ ብሩ ሰብሳቢ በሆኑበት፣ ከሠራተኛና ማኅበራዊ ጉዳይ ሚ/ ር፣ ከሜዳክ፣ ከአመዝኮ፣.... የተውጣጡ የኮሚቴ አባላት በተሳተፉበት ጥናት ከተደረገ በኋላ ሥራውን አጠናክሮ ለመሥራት እንዲቻል የሠራተኛና ማኅበራዊ ጉዳይ ሚ/ ር መ/ ቤትን ሠራተኞች ማሠራት ጊዜ ቆጣቢ ነው ተብሎ እንደታመነበት አስረድተዋል።,"[('አቶ', 'TTL'), ('ግርማ ብሩ', 'PER'), ('ከሠራተኛና ማኅበራዊ ጉዳይ ሚ/ ር', 'ORG'), ('ከሜዳክ', 'ORG'), ('ከአመዝኮ', 'ORG')]"
ጠቋሚዎቹ በመጨረሻ እንደገለጡት ኋላ ቀር የሆኑ አገሮች ድህነትን ለመቀነስ የሚደረገውን እንቅስቃሌ ተጋሪ በሆነችው ሀገራችን እንዲህ በእርጥባን የሚመጣን ገንዘብ በአግባቡ ለሕዝብ ፍላጐት ማዋል የዓላማው ተቀዳሚ ተግባር እንደሆነም አክለዋል። ከጥር 1 ቀን 1994 ጀምሮ እንቅስቃሴ እያደረገ ያለው 171;የቶፕ አፕ 187; ጽ/ ቤት ቆይታ ጊዜ ያለቀ ባለመሆኑ ጉዳዩ የኅሊና ዳኝነት አግኝቶ ለርሃብና ለችግር ተጋለጥን ለሚለው ለተንከራታቹ ተቀናሽ ሠራዊት ትኩረት ይስጥ ሲሉም ጠይቀዋል።,"[('ከጥር 1 ቀን 1994 ጀምሮ', 'TIME')]"
የሰላም አስጠባቂው ሎጂስቲክስ ለማጓጓዝ የሚመቸውን የአሥመራ- ከረን- ባሬንቱ መንገድ የሻዕቢያ መንግሥት እንደገና ክፍት ለማድረግ ያስተላለፈው ውሳኔ የተ. መ. ድ ሰላም አስጠባቂ ልዑክ (አንሚ) አዲስ የተሾሙት ኮማንደር ሜጀር ጄኔራል ራጄንደር ሲንግ በጐ አዝማሚያ ነ ሲሉ ተቀብለውታል። የአሥመራ- ከረን- ባሬንቱ መንገድ ካለፈው መጋቢት ወር ጀምሮ ለሰላም ልዑካን ተዘግቶ እንደነበር ይታወሳል። ለመዘጋቱ ምክንያት ነው ተብሎ በኤርትራ መንግሥት በኩል የቀረበው ክስ ወታደሮቹ ሥነ ምግባር የጐደለው ተግባር በሴቶች ላይ ፈጽመዋል፣ የስለላ ስራም ሲያከናውኑ ታይተዋል የሚል ነበር። አንሚ የቀረበበትን ክስ መሠረተ- ቢስ ነው ሲል ከማጣጣሉም በላይ ተወላጅ የሆኑትን ሠራተኞቹን የኤርትራ መንግስት ያለአግባብ አፍኖ ወስዷቸዋል የሚል ነበር።,"[('የአሥመራ- ከረን- ባሬንቱ', 'LOC'), ('የተ. መ. ድ', 'ORG'), ('ሜጀር ጄኔራል', 'TTL'), ('ራጄንደር ሲንግ', 'PER'), ('የአሥመራ- ከረን- ባሬንቱ', 'LOC'), ('መጋቢት ወር', 'TIME'), ('አንሚ', 'ORG')]"
ከኤርትራ መንግስት በኩል ለጊዜው የተሰጠ መግለጫ ባይኖርም በኤርትራ መንግስትና በተመድ ድርጅት መካከል የነበረውን የሻከረ ግንኙነት እንደሚያሻሽለው የፖለቲካ ተንታኞች ያስረዳሉ።,"[('በተመድ', 'ORG')]"
በዴሞክራሲያዊ ሥርዓት እንደተቃዋሚ ፓርቲዎችና ነፃ ፕሬስ ያሉ ዴሞክራሲያዊ ተቋማትን መኖር እጅግ አስፈላጊ ሆኖ ሳለ ሰሞኑን የተቀሰቀሰውን አገር አቀፍ የተማሪ መነሳሳት መነሻ በማድረግ በተቃዋሚ የፖለቲካ ድርጅቶች፣ በነፃው ፕሬስና በኢትዮጵያ የሰብዓዊ መብቶች ጉባዔ (ኢሰመጉ) ላይ መጠነ ሰፊ የፕሮፓጋንዳና የተግባር ጥቃት ተከፍቷል። ይህም ክስተት 171;ወዴት እየሄድን ነው? 187; የሚል ጥያቄ አስነስቷል።,"[('በኢትዮጵያ የሰብዓዊ መብቶች ጉባዔ (ኢሰመጉ', 'ORG')]"
ከስድስት ኪሎ ዩኒቨርስቲ አልፎ ሀገር አቀፍ ይዘት ተላብሶ የሰነበተው የተማሪዎች ተቃውሞ ከቁጥጥር ውጭ ሊሆን የቻለው በአንዳንድ ተቃዋሚ ፓርቲዎችና የሰብዓዊ መብት አስከባሪ ነን ተብዬዎች ባደረጉት ቅስቀሳ ነው ሲል መንግሥት ሚያዝያ 10 ቀን 1993 የገለጠ ሲሆን ኢሰመጉና ፓርቲዎች በየበኩላቸው በሰጡት ጋዜጣዊ መግለጫዎች ውንጀላውን በመኮነን የተማሪዎቹ ጥያቄ በሰበብ አስባብ መታፈን አይገባውም ብለዋል።,"[('ሚያዝያ 10 ቀን 1993', 'TIME'), ('ኢሰመጉና', 'ORG')]"
በተጨማሪም በነፃው ፕሬስ ላይ የሚደረገው ወከባ እንደገና ተፋፍሞ በሀገር ውስጥና በውጭ አገር ጋዜጠኞችና በጋዜጣ አዟሪዎች ላይ ሰሞኑን አዲስ የጥቃት ዘመቻ መከፈቱን የጦቢያ ጋዜጣ ሪፖርተር ሰዎችን በማነጋገርና የኢነጋማን መግለጫ መሰረት በማድረግ ይህንን ዘገባ አቅርቧል።,"[('የኢነጋማን', 'ORG')]"
171;የቅድሚያ ምርመራና ማንኛውም ሌላ ተመሳሳይ ገደብ ተከልክሏ 187; በማለት መንግሥት በ1984 ዓ. ም ያወጣውን የፕሬስ መግለጫ መሰረት በማድረግ ይህንን ዘገባ አቅርቧል።,"[('1984 ዓ. ም ', 'TIME')]"
171;የቅድሚያ ምርመራና ማንኛውም ሌላ ተመሳሳይ ገደብ ተከልክሏል 187; በማለት መንግሥት በ1984 ዓ. ም ያወጣውን የፕሬስ አዋጅ ቁጥር 34 በመተላለፍ ፖሊሶችና ሌሎችም የታጠቁ ኃይሎች በነፃው ፕሬስ ላይ በማድረስ ላይ ያሉትን ጥቃትና ድርጊት አጥብቆ በመቃወም እነዚህ ክፍሎች ከዚህ ድርጊታቸው እንዲቆጠቡ የኢትዮጵያ ነፃ ጋዜጠኞች ማኅበር (ኢነጋማ) ሚያዝያ 14 ቀን 1993 ዓ. ም መግለጫ አውጥቷል።,"[('1984 ዓ. ም ', 'TIME'), ('ኢትዮጵያ ነፃ ጋዜጠኞች ማኅበር (ኢነጋማ)', 'ORG'), ('ያዝያ 14 ቀን 1993 ዓ. ም ', 'TIME')]"
ኢነጋማ ባወጣው በዚሁ መግለጫ የማህበሩ አባልና የመብረቅ ጋዜጣ ሥራ አስኪያጅ አቶ ሰይፉ መኮንን ሚያዝያ 14 ቀን 1993 ዓ. ም ከቤት ወጥቶ ባለመመለሱና የደረሰበትም ያለመታወቁን ቤተሰቦቹ ማስታወቃቸውን ገልጧል።,"[('ኢነጋማ', 'ORG'), ('አቶ', 'TTL'), ('ሰይፉ መኮንን', 'PER'), ('ሚያዝያ 14 ቀን 1993 ዓ. ም', 'TIME')]"
ከዚህም ሌላ በአዲስ አበባ ዋና ዋና አደባባዮችና መንገዶች የነፃውን ፕሬስ ጋዜጦችና መጽሄቶች በማዞርና በመሸጥ የሚተዳደሩ ግለሰቦች ሚያዝያ 12 ቀን 1993 ዓ. ም በታጠቁ ኃይሎች በጅምላ እየታፈሱ የታሰሩ ሲሆን ሁኔታው በእጅጉ ያሳሰበው ኢነጋማ የዚህ ዓይነቱ አሰራር በነፃው ፕሬስ ህልውና ላይ የሚያስከትለውን ችግር ግንዛቤ ውስጥ በማስገባት መንግሥትን የጋዜጣና መጽሄት አዟሪዎች እንዲፈቱ ከመጠየቅ ባሻገር ዓለም አቀፉ ማህበረሰብም የበኩሉን እርምጃ እንዲወስድ አሳስቧል።,"[('ሚያዝያ 12 ቀን 1993 ዓ. ም', 'TIME'), ('ኢነጋማ', 'ORG')]"
በአዲስ አበባ ከተማ ውስጥ ከሚገኙት 1000 ጋዜጣ አዟሪዎች መካከል ወደ800 የሚጠጉት ታፍሰው ወደኮልፌ ከተወሰዱ በኋላ የሚበሉት እንኳን ሳይሰጣቸው ባዶ ድንጋይ ላይ ተኝተው እንዲያድሩ ተደርጐ ሚያዝያ 12 ለ13 አጥቢያ ከንጋቱ በ11 ሰዓት ላይ 171;ጋዜጣና መጽሄት አዙሬ አልሸጥም 187; በማለት በነፍስ ወከፍ እየፈረሙ መለቀቃቸውን ገልጠዋል።,"[('በአዲስ አበባ ከተማ', 'LOC'), ('ሚያዝያ 12 ለ13 አጥቢያ ከንጋቱ በ11 ሰዓት', 'TIME')]"
የውጭ አገር ጋዜጠኞችም በተመለከተ ኒታ ባላ የተባለች የቢቢሲ ጋዜጠኛ በ4 ኪሎ አካባቢ በዩኒቨርስቲ ተማሪዎች፣ በፖሊሶችና በወቅቱ ከየት እንደመጡ ባልታወቁ ታጣቂዎች መካከል ይካሄድ የነበረውን ረብሻ ስትከታተል ቆይታ በተለይ ፖሊሶች አንዲትን ሴት ያለርህራሄ ሲደበድቡ ያንን በካሜራዋ ለመቅረፅ ስትሞክር የፖሊስ መኮንኖች ደርሰው 171;በዚህ መልክ የኢትዮጵያን ገፅታ ቀርፀሽ ለዓለም ህዝብ ማስተላለፍ አትችይም 187; በማለት ካሜራዋን ነጥቀው እንደወሰዱባት አስታውቃለች።,"[('ኒታ ባላ', 'PER'), ('የቢቢሲ', 'ORG')]"
በሌላም በኩል የአሜሪካን ድምፅ ሬዲዮ ወኪል የሆነው ዘለዓለም ገመቹ ሰሞኑን በአዲስ አበባ ዩኒቨርስቲ ተማሪዎች ላይ ይፈፅም የነበረውን ድርጊት እየተከታተለ መዘገቡ ያስቆጣቸው የደህንነት ኃይሎች ዛቻና ማስፈራሪያ እንደአደረሱበት ገልጦ መቅረጸ ድምፁን ነጥቀው የወሰዱበት መሆኑንም አስታውቋል።,"[('የአሜሪካን ድምፅ ሬዲዮ', 'ORG'), ('ዘለዓለም ገመቹ', 'PER'), ('በአዲስ አበባ ዩኒቨርስቲ', 'ORG')]"
ዘለዓለም ገመቹ የአሜሪካ ድምፅ ሬዲዮ ተቀጣሪ ሰራተኛ መሆኑንና ቴፕሪከርደሩም የዚሁ ድርጅት ንብረት መሆኑን ቢገልፅም ለመመለስ ፈቃደኞች ሆነው አለመገኘታቸውን ለድርጅቱ አስታውቆ ድርጅቱ በሚመለከተው በአሜሪካ መንግሥት በኩል ስለጉዳዩ ከኢትዮጵያ ባለሥልጣናት ጋር ንግግር የተጀመረ መሆኑን የአሜሪካ ድምፅ ሚያዝያ 15 ቀን 1993 ምሽት ላይ ማሰራጨቱም ታውቋል።,"[('ዘለዓለም ገመቹ', 'PER'), ('የአሜሪካ ድምፅ ሬዲዮ', 'ORG'), ('ሚያዝያ 15 ቀን 1993 ምሽት', 'TIME')]"
"ልዩ ዐቃቤ ህግ በአዋጅ ከተቋቋመባቸው ዓላማዎች አንዱ በደርግ የአገዛዝ ዘመን በ"" ዘር ማጥፋት"" ወንጀል ሊጠየቁ የሚገባቸውን ሰዎች ተከታትሎ ለህግ በማቅረብ ተገቢውን ፍርድ እንዲያገኙ ለማድረግ ነው። ይህን በሕግ የተሰጠውን ኃላፊነት ለመወጣት ባደረገው እንቅስቃሴ ግን የሰው ልጅ መብቶችን በማሰባሰብ በተባለው ወንጀል ተጠያቂ የሆኑትን ብቻ ተከታትሎ በመያዝ ሥልጣን ላለው ፍ/ ቤት በማቅረብ ክስ እንዲመሠረትባቸው ማድረግ ሲገባው እንዲሁ በጥርጣሬ ብቻ ከ2 ዓመት እስከ 8 ዓመት ክስ ሳይመሠረትባቸው በፌዴራል ማረሚያ ቤቶች እና በቃሊቲ እስር ቤት አጉሮ እንዲሰቃዩ አድርጓል። በዚህ መካከል ብዙ ቤተሰብ ተበትኗል። ብዙዎቹ በእስር ላይ እንዳሉ ሕይወታቸው አልፏል፤ አሁን አሁን ፍርድ ቤቶች በሚሰጡት ውሳኔ አብዛኛው"" በነፃ"" እየተለቀቁ መሆናቸው ልዩ ዐቃቤ ሕግ ይከተለው ለነበረው የዘፈቀደ አሠራር አንድ ማስረጃ ነው።","[('ከ2 ዓመት', 'TIME'), ('8 ዓመት', 'TIME'), ('በቃሊቲ', 'LOC')]"
"ከዚህ መሠረታዊ መርሆ አንፃር ልዩ ዐቃቤ ህግ የፈጸመውን ሕገ ወጥ ተግባር እንመልከት። አንድ ሰው ወንጀል ፈፅሟል ተብሎ ከተጠረጠረ በፖሊስ ሁኔታው ይጣራል። ፖሊስ በወንጀለኛ መቅጫ ህግ እና በሥነ ሥርዓቱ መሰረት ክስ እንዲመሠረትበት ለዐቃቤ ህግ ይመራዋል። ዐቃቤ ህግም በዚሁ የ1949 የወንጀለኛ መቅጫ ህግ እና ሥነ ሥርዓቱ መሠረት ያስከስሳል ወይም አያስከስስም በማለት ውሣኔ ይሰጣል፤ የተሰባሰበውን መረጃ መዝኖ ማለት ነው። ያስከስሳል ካለ በ15 ቀን ውስጥ በፍርድ ቤት ክስ የማቅረብ ግዴታ አለበት። ጥፋተኛ ነው፣ ሊቀጣ ይገባዋል"" ማለት ያለበት ሥልጣን ያለው ፍ/ ቤት ብቻ ነው።","[('የ1949', 'TIME'), ('በ15 ቀን', 'TIME')]"
በቃሊቲ እስር ቤት ክስ ሳይመሠረትባቸው ይንገላቱ ከነበሩ ዜጐቻችን አንዲቷን ወይዘሮ በአካል እናውቃቸዋለን። ቤተሰቦቻቸው ያሉት አዋሳ ከተማ ነው። ከቤት ንብረታቸው፣ ከጠያቂ ዘመዶቻቸው ርቀው አዲስ አበባ ለብዙ ጊዜ ታስረዋል። ጠያቂ ዘመዶቻቸው ካሉበት ቦታ አርቆ ማሰር ማለት እኔ እስከሚገባኝ ሕገ- መንግሥቱ ካሉበት ቦታ አርቆ ማሰር ማለት እኔ እስከሚገባኝ ሕገ- መንግሥቱ የሚፈቅደው አይደለም። ደግሞስ ከአዋሳ እስር ቤት በዕድገት ነው ወደ ቃሊቲ የተዛወሩት? ቤተሰቦቻቸው በከፍተኛ ደረጃ በመሰቃየት ወደ ቃሊቲ የተዛወሩት? ቤተሰቦቻቸው በከፍተኛ ደረጃ በመሰቃየት ላይ መገኘታቸውን የከተማው ሰው የሚያውቀው ነው። ለአብነት ያህል እኒህን ወይዘሮ ጠቀስኩ እንጂ ወዳጅ ዘመድ ጠቃሚ በቅርብ በማያገኙበት ታስረው ላለፉት በርካታ ዓመታት በእስር የሚማቅቁ በርካታ ናቸው። ይህ ሰውን ከመሰወር በምን ይለያል?,"[('በቃሊቲ', 'LOC')]"
ከዚህ የሕግ መብት አንፃር በአገራችን ውስጥ ተደራጅተው ያሉ እንደ ኢትዮጵያ የህግ ባለሙያ ሴቶች ማህበር፣ የኢትዮጵያ ሰብአዊ መብቶች ጉባኤ (ኢሰመጉ)፣ ተቃዋሚ ፓርቲዎችና በህግ የበላይነት የሚያምኑ ወገኖች ሁሉ ያለአግባብ ስለሚታሠሩ ሰዎች ይህን ጥያቄ ለፍ/ ቤት የማቅረብ መብት አላቸው። ግዴታም አለባቸውም። ይህ ቢለመድ እግረ መንገዱንም ነፃ ፍ/ ቤት ኢትዮጵያ ውስጥ መመሥረቱን፣ በነፃነትም መሥራቱን መፈተሻ መንገድ ነው።,"[('ኢትዮጵያ የህግ ባለሙያ ሴቶች ማህበር', 'ORG'), ('የኢትዮጵያ ሰብአዊ መብቶች ጉባኤ (ኢሰመጉ', 'ORG')]"
"ለፍትህ አካላት ሰዎችም መልዕክት አለን። ቁንጮ ባለሥልጣናቱ የአ. አበባ ዩኒቨርስቲ የህግ ምሩቆች መሆናችሁን ስናገናዝብና የተማሩት ትምህርት ለሕግ የበላይነት መሆኑን ስናጤን በተለይ የሕግ ባለሙያዎች በመሩት አካል የሚፈፀም ሕገ- ወጥ ተግባር ያሳፍረናል። መልዕክትና ጥያቄአችንም እነሆ፤"" ሰብአዊ ተፈጥሮአችሁ የህግ የበላይነት አልቀበልም ብሎ ሥልጣን ላይ ብቻ አተኮራችሁ? መንግሥት ተለዋዋጭ ነው። ሌሎችን ለማጥቃት በተዘጋጀው ሕግ መሠረት የዛሬ ባለሥልጣን ተጠያቂ ሆኖ ነገ ከርቸሌ እና ቃሊቲ መኖሪያው የሚሆንበት ጊዜ እንደማይመጣ ምን ማረጋገጫ አላችሁ?""","[('መንግሥት', 'ORG')]"
ወገኖቼ፤ ይህቺ ዜጐቻችን ላይ የተቆለፈች መብት ሌሎቻችንንም እየሳበች ከማስገባቷ በፊት ሁላችንም ለሕግ መከበር መጮህ አለብን። ያለ አግባብ ታስረው በደል የደረሰባቸውም ዳኝነት የሚያገኙበት ሁኔታ ይመቻች። በዚህ በኩል ልዩ ዐቃቤ ሕግና የወቅቱ ባለሥልጣናት ተጠያቂነት አለባቸው። የቀይ ሽብር ተጠያቂዎች ለፍርድ የሚቀርቡት ያ ዘመን ተመልሶ እንዳይመጣ ለትምህርት ሰጭነቱም ጭምር ነው ተብለናል። ባለፉት 11 ዓመታት ለተፈፀሙትና በመፈጸም ላይ ላሉት የሰብዓዊ መብት ረገጣዎች ተጠያቂዎች ለምን ለፍርድ አይቀርቡም? እየቀረቡስ ከሆነ ጉዳያቸው በግልጽ ችሎት ለምን አይታይም?,"[('ባለፉት 11 ዓመታት', 'TIME')]"
የኢህአዴግ አባል ድርጅቶች በችግር ተወጥረዋል- በመንግሥት ሥራ መጓተት ይታያል,"[('የኢህአዴግ', 'ORG')]"
የግንቦቱን ብሔራዊና ክልላዊ ምርጫ ከ95 ከመቶ በላይ የየካቲቱን የወረዳ ምክር ቤቶች ምርጫ ከ98 ከመቶ በላይ ለሌላ አምስት ዓመት በሕዝብ ተመርጫለሁ የሚለው ኢህአዴግ ሥልጣኑን ማደላደል ተስኖት በልዩነትና በተቃውሞ ማዕበል እየተናወጠ መሆኑን የሰሞኑን የአገራችንን ፖለቲካዊ ሁኔታ በመከታተል ላይ ያሉ ውስጥ አዋቂና ይፋዊ ምንጮች ይጠቁማሉ።,"[('የግንቦቱን', 'TIME'), ('ኢህአዴግ', 'ORG')]"
ስለጉዳዩ 12 አባላት ያሉት የሕወሓት ማዕከላዊ ኮሚቴ አባላት ቡድን መግለጫ በትግርኛና በእንግሊዘኛ የበተነ ሲሆን የወቅቱን አጠቃላይ የፖለቲካ ትኩሳት በሚመለከት የዝግጅት ክፍላችን ከልዩ ልዩ ምንጮች ያጠናቀረው ግምገማዊ ሪፖርት እንደሚከተለው ቀርቧል።,"[('የሕወሓት', 'ORG')]"
